epoch,train_loss,train_acc,train_f1,train_auc,val_loss,val_acc,val_f1,val_auc
1,0.9469298030200758,0.40789473684210525,0.3076923076923077,0.3852813852813853,0.6822753579992997,0.6842105263157895,0.0,0.30769230769230765
2,0.694886138564662,0.6052631578947368,0.4444444444444444,0.6051948051948052,0.7079890056660301,0.2631578947368421,0.4166666666666667,0.3205128205128205
3,0.7570421115348214,0.5131578947368421,0.39344262295081966,0.5307359307359307,0.6868894319785269,0.3157894736842105,0.23529411764705882,0.3589743589743589
4,0.7177684746290508,0.5526315789473685,0.41379310344827586,0.5653679653679653,0.6967036441752785,0.42105263157894735,0.5217391304347826,0.423076923076923
5,0.6569622221745943,0.5657894736842105,0.47619047619047616,0.6744588744588745,0.7287269454253348,0.3157894736842105,0.48,0.37179487179487175
6,0.6401072536644182,0.5394736842105263,0.47761194029850745,0.7038961038961039,0.7250248695674696,0.3157894736842105,0.48,0.24358974358974358
7,0.6361658980971888,0.6578947368421053,0.48,0.6623376623376622,0.6867724374720925,0.6842105263157895,0.0,0.2948717948717949
8,0.6253768550722223,0.618421052631579,0.5084745762711864,0.722943722943723,0.67398685844321,0.5263157894736842,0.47058823529411764,0.4871794871794872
9,0.5903027371356362,0.6578947368421053,0.5806451612903226,0.7515151515151515,0.6647437810897827,0.6842105263157895,0.25,0.5
10,0.628023331102572,0.6973684210526315,0.5490196078431373,0.7082251082251082,0.6758129910418862,0.5263157894736842,0.3076923076923077,0.4615384615384615
11,0.6112793589893141,0.618421052631579,0.5245901639344263,0.7316017316017316,0.6855809970905906,0.47368421052631576,0.4444444444444444,0.423076923076923
12,0.5452834336381209,0.75,0.6415094339622641,0.8173160173160173,0.6886381663774189,0.42105263157894735,0.35294117647058826,0.4487179487179487
13,0.5000722110271454,0.8026315789473685,0.6808510638297872,0.8562770562770563,0.6922744857637506,0.5789473684210527,0.0,0.49999999999999994
14,0.5379645793061507,0.7631578947368421,0.625,0.7948051948051948,0.702130725509242,0.42105263157894735,0.26666666666666666,0.423076923076923
15,0.49693571893792404,0.6578947368421053,0.59375,0.8562770562770563,0.6824412189031902,0.47368421052631576,0.375,0.5128205128205128
16,0.5349684341957694,0.7631578947368421,0.6086956521739131,0.7922077922077921,0.6885401606559753,0.6842105263157895,0.0,0.5512820512820512
17,0.554884019650911,0.6710526315789473,0.5283018867924528,0.7774891774891775,0.737142402874796,0.3157894736842105,0.48,0.5128205128205128
