epoch,train_loss,train_acc,train_f1,train_auc,full_loss,full_acc,full_f1,full_auc
1,0.6879143953323364,0.7166666666666667,0.036281179138321996,0.5834845417236663,0.6797136354446411,0.7373333333333333,0.4084084084084084,0.7307337893296852
2,0.6768313679695129,0.73,0.44291609353507566,0.6480941176470588,0.663743890285492,0.6626666666666666,0.571912013536379,0.7621482900136798
3,0.6542883405685425,0.722,0.484548825710754,0.7118839945280437,0.6286378226280213,0.7246666666666667,0.5890547263681593,0.7793050615595075
4,0.6246178958415985,0.706,0.5513733468972533,0.7409663474692202,0.6041515161991119,0.7693333333333333,0.5494791666666666,0.788891928864569
5,0.6000763998031616,0.7066666666666667,0.5686274509803921,0.7529663474692202,0.5691231708526612,0.7626666666666667,0.6061946902654868,0.7981110807113544
6,0.5843508157730103,0.732,0.5881147540983607,0.7634911080711353,0.5906977097988129,0.63,0.5626477541371159,0.7894347469220246
7,0.5885621659755707,0.6913333333333334,0.5676937441643324,0.7529740082079344,0.5535426604747772,0.752,0.6125,0.8041127222982215
8,0.5686894090175628,0.7313333333333333,0.594159113796576,0.7779567715458275,0.5505861387252807,0.7046666666666667,0.6019766397124887,0.8084268125854994
9,0.5580947501659393,0.746,0.6092307692307692,0.7869110807113543,0.5437958068847656,0.788,0.6168674698795181,0.8246829001367989
10,0.5429208195209503,0.7413333333333333,0.6096579476861167,0.8053647058823529,0.5259415040016174,0.73,0.6225535880708295,0.8253679890560877
11,0.5381052005290985,0.7553333333333333,0.614900314795383,0.8060891928864569,0.5426887362003326,0.6966666666666667,0.6074201898188093,0.8192
12,0.5410326642990112,0.7493333333333333,0.6209677419354839,0.8038522571819424,0.512973819732666,0.75,0.6319921491658489,0.829196169630643
13,0.5314847962856293,0.756,0.6280487804878049,0.8125132694938442,0.5123284931182861,0.8086666666666666,0.6546329723225031,0.8452158686730505
14,0.5342986713647843,0.7553333333333333,0.6196891191709845,0.8113794801641587,0.5280674402713775,0.8,0.6153846153846154,0.8454500683994529
15,0.5239612951278686,0.7773333333333333,0.6528066528066528,0.8161335157318742,0.4981302056312561,0.7666666666666667,0.6464646464646465,0.8382883720930231
16,0.5156515885591507,0.7573333333333333,0.6323232323232323,0.8239649794801641,0.5075568864345551,0.7326666666666667,0.6448184233835252,0.84210560875513
17,0.5136388862133026,0.7673333333333333,0.6442405708460754,0.8265718194254446,0.48733831906318664,0.768,0.652,0.8451020519835842
18,0.49900022232532504,0.7706666666666667,0.6468172484599589,0.8350030095759234,0.48241879272460936,0.772,0.655241935483871,0.8497991792065663
