fold,train_acc,train_f1,train_auc,val_acc,val_f1,val_auc,n_train,n_val
1,0.9473684210526315,0.9130434782608695,0.987012987012987,0.5789473684210527,0.2,0.39743589743589747,76,19
2,0.8947368421052632,0.8333333333333334,0.9757575757575758,0.631578947368421,0.36363636363636365,0.5128205128205128,76,19
3,0.9078947368421053,0.8627450980392157,0.9848484848484849,0.5263157894736842,0.47058823529411764,0.6571428571428571,76,19
4,0.9342105263157895,0.8979591836734694,0.9848484848484849,0.7368421052631579,0.4444444444444444,0.5714285714285714,76,19
5,0.9342105263157895,0.8979591836734694,0.9722222222222222,0.5263157894736842,0.4,0.6,76,19
