fold,train_acc,train_f1,train_auc,val_acc,val_f1,val_auc,n_train,n_val
1,0.9736842105263158,0.9545454545454546,1.0,0.5263157894736842,0.3076923076923077,0.5769230769230769,76,19
2,0.9868421052631579,0.9767441860465116,1.0,0.5789473684210527,0.3333333333333333,0.5128205128205128,76,19
3,0.9868421052631579,0.9777777777777777,1.0,0.42105263157894735,0.15384615384615385,0.3857142857142857,76,19
4,0.9868421052631579,0.9777777777777777,1.0,0.631578947368421,0.36363636363636365,0.6142857142857143,76,19
5,0.9736842105263158,0.9565217391304348,1.0,0.5263157894736842,0.18181818181818182,0.32857142857142857,76,19
