epoch,train_loss,train_acc,train_f1,train_auc,full_loss,full_acc,full_f1,full_auc
1,0.6862520818710327,0.7186666666666667,0.08658008658008658,0.6007288645690834,0.6767062573432923,0.7246666666666667,0.5525460455037919,0.7497149110807113
2,0.6672932438850403,0.7266666666666667,0.4305555555555556,0.7095507523939808,0.6526383876800537,0.6613333333333333,0.5738255033557047,0.7659841313269494
3,0.6466332941055298,0.7153333333333334,0.5207631874298541,0.7208536251709986,0.6237420234680175,0.7066666666666667,0.590316573556797,0.7746385772913817
4,0.6228905484676361,0.7053333333333334,0.5535353535353535,0.7468497948016416,0.6139410412311554,0.7686666666666667,0.5133239831697055,0.7834725034199727
5,0.602824622631073,0.7233333333333334,0.5820745216515609,0.7574829001367989,0.5754335806369781,0.766,0.6024915062287656,0.7959562243502052
6,0.5858006255626679,0.7326666666666667,0.5835929387331257,0.7621428180574555,0.5867893760204315,0.666,0.5821517931609674,0.7931294117647059
7,0.5871284906864166,0.7013333333333334,0.5725190839694656,0.7566161422708617,0.5590768914222717,0.7526666666666667,0.6179196704428425,0.8024383036935705
8,0.5836744682788849,0.7266666666666667,0.5891783567134269,0.7614380300957593,0.5633867738246918,0.6933333333333334,0.5950704225352113,0.7981482900136798
9,0.5696577055454254,0.736,0.5950920245398773,0.7777072503419972,0.548445196390152,0.7806666666666666,0.6222732491389208,0.8165537619699041
10,0.5528127677440643,0.7386666666666667,0.610337972166998,0.7963797537619699,0.5380416145324707,0.736,0.6184971098265896,0.8168010943912449
11,0.5465957634449005,0.7546666666666667,0.6229508196721312,0.7991069767441861,0.5479758856296539,0.6953333333333334,0.6015693112467306,0.8135518467852256
12,0.5483136899471283,0.7306666666666667,0.5992063492063492,0.7998358413132695,0.5263517906665802,0.736,0.623574144486692,0.8220322845417237
13,0.5510959703922271,0.732,0.601980198019802,0.7963119015047881,0.5355840182304382,0.8,0.6163682864450127,0.8374960328317373
14,0.538465969324112,0.7586666666666667,0.6244813278008299,0.8094489740082079,0.5237311297655105,0.804,0.6352357320099256,0.838172366621067
15,0.5303472192287445,0.774,0.6450261780104712,0.8112503419972641,0.5023096069097519,0.792,0.6517857142857143,0.8425411764705882
16,0.5195303448438644,0.7526666666666667,0.6286286286286287,0.8216623803009576,0.5334195339679718,0.6893333333333334,0.6116666666666667,0.8396662106703146
17,0.5197754418849945,0.7586666666666667,0.6275720164609053,0.822246785225718,0.48861943304538724,0.7766666666666666,0.659206510681587,0.8464153214774284
18,0.5015532991886139,0.7726666666666666,0.6488156539649845,0.8342456908344733,0.488175270318985,0.7713333333333333,0.6474820143884892,0.8457433652530779
19,0.5157791641950608,0.76,0.6319018404907976,0.8233127222982217,0.5093341207504273,0.8046666666666666,0.6431181485992692,0.8476300957592339
20,0.502888429760933,0.7733333333333333,0.6480331262939959,0.8349045143638851,0.499887322306633,0.8113333333333334,0.652760736196319,0.8566172366621069
21,0.5096637647151947,0.7673333333333333,0.6390899689762151,0.830804924760602,0.4715230326652527,0.786,0.6741116751269035,0.86526292749658
22,0.48799468207359314,0.7813333333333333,0.6632443531827515,0.8477373461012312,0.5208890721797943,0.8146666666666667,0.6351706036745407,0.8593225718194254
23,0.49000293779373166,0.7706666666666667,0.6482617586912065,0.8457849521203831,0.4753607314825058,0.8006666666666666,0.6674082313681868,0.8630303693570451
24,0.49302217984199526,0.784,0.6596638655462185,0.8440470588235294,0.4564080910682678,0.81,0.6843853820598007,0.8757077975376196
25,0.4818224591016769,0.7873333333333333,0.6666666666666666,0.8519376196990424,0.5307540785074234,0.81,0.6111869031377899,0.8660049247606019
26,0.4817383259534836,0.7866666666666666,0.6673596673596673,0.8529619699042408,0.47187716579437256,0.758,0.6654377880184332,0.8672328317373462
27,0.47245939016342164,0.7926666666666666,0.6790505675954592,0.8572257181942544,0.49117018353939057,0.822,0.6649937264742786,0.8687430916552669
28,0.4758436226844788,0.786,0.6610348468848997,0.854189876880985,0.45421275615692136,0.7806666666666666,0.6845637583892618,0.8751299589603283
29,0.463528884768486,0.7906666666666666,0.6735966735966736,0.8653461012311902,0.4418391785621643,0.8113333333333334,0.6953713670613563,0.8785203830369357
30,0.4556606035232544,0.7886666666666666,0.6788247213779128,0.8686073871409028,0.5556729720830917,0.8093333333333333,0.5855072463768116,0.8820902872777019
31,0.463830423116684,0.7906666666666666,0.6815415821501014,0.8619863201094392,0.42575071442127227,0.816,0.7082452431289641,0.88968317373461
32,0.44702361297607424,0.808,0.6981132075471698,0.8747731874145006,0.49760543954372405,0.694,0.6411258795934324,0.8944
33,0.4565294804573059,0.7866666666666666,0.6728016359918201,0.869944733242134,0.4182658756971359,0.83,0.7249190938511327,0.8954221614227086
34,0.44328327775001525,0.7966666666666666,0.6865364850976362,0.876311901504788,0.45183965361118317,0.8353333333333334,0.6893081761006289,0.8981340629274966
35,0.44347864377498625,0.8066666666666666,0.697286012526096,0.8742916552667578,0.41665377414226534,0.7933333333333333,0.7058823529411765,0.9013537619699042
36,0.4618030794858933,0.7866666666666666,0.673469387755102,0.8626932968536252,0.41455570805072783,0.8133333333333334,0.72,0.8998084815321477
37,0.4279812151193619,0.808,0.7030927835051546,0.8849597811217509,0.4082799344062805,0.824,0.7161290322580646,0.8984886456908345
38,0.43031264054775237,0.8093333333333333,0.7020833333333333,0.8839901504787961,0.39642335736751555,0.8306666666666667,0.7245119305856833,0.904748563611491
39,0.42081092631816863,0.814,0.7072402938090241,0.8892454172366622,0.39022927701473237,0.8233333333333334,0.7248182762201454,0.9071781121751027
40,0.42564506471157076,0.8,0.691358024691358,0.8852071135430917,0.4063099473118782,0.8526666666666667,0.7415204678362574,0.9108071135430916
41,0.42527971136569975,0.8066666666666666,0.7004132231404959,0.8849597811217509,0.38437978839874265,0.8426666666666667,0.739514348785872,0.9122889192886457
42,0.41216148662567137,0.8186666666666667,0.7178423236514523,0.8952054719562244,0.38762359273433683,0.8333333333333334,0.7417355371900827,0.9094588235294119
43,0.41146027952432634,0.8133333333333334,0.7083333333333334,0.892244049247606,0.38193758761882785,0.826,0.7428571428571429,0.9154320109439125
44,0.3990682399868965,0.8206666666666667,0.7177334732423925,0.9021876880984951,0.3633708074092865,0.8573333333333333,0.7637969094922737,0.9212147742818056
45,0.39690407168865205,0.814,0.714431934493347,0.9003425444596443,0.3840159339904785,0.8146666666666667,0.7300970873786408,0.9124946648426813
46,0.3861719994544983,0.8253333333333334,0.7298969072164948,0.9082243502051984,0.35759164476394656,0.8553333333333333,0.768409818569904,0.9285778385772914
47,0.3857811700701714,0.8353333333333334,0.7397260273972602,0.909102051983584,0.3705695464015007,0.8613333333333333,0.7630979498861048,0.9181067031463749
48,0.3835822006464005,0.8253333333333334,0.7276507276507277,0.9097214774281805,0.3653030108213425,0.8533333333333334,0.75,0.9212913816689465
49,0.40258386462926865,0.8213333333333334,0.7196652719665272,0.8994429548563613,0.3653248337507248,0.8246666666666667,0.7483253588516746,0.9289915184678523
50,0.3813907932639122,0.8366666666666667,0.743455497382199,0.9118358413132696,0.3434583230018616,0.87,0.790096878363832,0.9320164158686731
51,0.36762933993339536,0.8453333333333334,0.7598343685300207,0.9165176470588235,0.3411015224456787,0.858,0.7774294670846394,0.9294796169630642
52,0.3677199019789696,0.8393333333333334,0.7502590673575129,0.9162046511627908,0.33626671373844147,0.8666666666666667,0.7854077253218884,0.9331972640218877
53,0.3709170237779617,0.8313333333333334,0.7334035827186512,0.9148257181942543,0.33712389516830443,0.8673333333333333,0.7885228480340064,0.9414391244870041
54,0.3713407462835312,0.8346666666666667,0.7411273486430062,0.9149198358413132,0.3555566188097,0.8173333333333334,0.7476979742173112,0.944094117647059
55,0.3624780696630478,0.8346666666666667,0.7416666666666667,0.9198993160054719,0.3191915462017059,0.8833333333333333,0.8083242059145673,0.9426495212038304
56,0.33888708060979844,0.8446666666666667,0.7560209424083769,0.9273696306429549,0.3119918285608292,0.878,0.8030139935414424,0.9449302325581396
57,0.35558886170387266,0.8506666666666667,0.7622080679405521,0.9236837209302325,0.3063868298530579,0.872,0.799163179916318,0.9454489740082079
58,0.3348283750414848,0.8573333333333333,0.773784355179704,0.9319047879616963,0.3179438047409058,0.8933333333333333,0.812206572769953,0.9516935704514364
59,0.324761397600174,0.862,0.780952380952381,0.9349909712722299,0.3001408912539482,0.876,0.8050314465408805,0.9465258549931601
60,0.3337078910470009,0.8533333333333334,0.7693920335429769,0.9321367989056089,0.3248280959129333,0.84,0.7642436149312377,0.9380837209302325
61,0.3179292027950287,0.8706666666666667,0.7949260042283298,0.9383792065663474,0.31588418573141097,0.8466666666666667,0.7796934865900383,0.953532147742818
62,0.31562645626068114,0.866,0.7873015873015873,0.9403688098495212,0.2723706334233284,0.8973333333333333,0.8322440087145969,0.9601313269493843
63,0.3140977509915829,0.8653333333333333,0.7891440501043842,0.9418068399452804,0.43814331060647965,0.852,0.6754385964912281,0.9469898768809849
64,0.3274409693479538,0.8626666666666667,0.7799145299145299,0.9336820793433652,0.2806517943739891,0.8833333333333333,0.8136315228966986,0.9548870041039671
65,0.30586433148384096,0.8653333333333333,0.7837259100642399,0.9434090287277702,0.36344415026903154,0.8793333333333333,0.7633986928104575,0.9500738714090288
66,0.32541653272509574,0.86,0.7784810126582279,0.9349274965800275,0.2672501962184906,0.8873333333333333,0.8222923238696109,0.9619917920656634
67,0.3136083005070686,0.864,0.7866108786610879,0.9392525307797537,0.26774689948558805,0.876,0.8125,0.9673236662106703
