fold,train_acc,train_f1,train_auc,val_acc,val_f1,val_auc,n_train,n_val
1,0.9868421052631579,0.9767441860465116,1.0,0.47368421052631576,0.2857142857142857,0.4358974358974359,76,19
2,1.0,1.0,1.0,0.631578947368421,0.46153846153846156,0.5512820512820513,76,19
3,0.9736842105263158,0.9565217391304348,1.0,0.5789473684210527,0.42857142857142855,0.6571428571428571,76,19
4,0.9736842105263158,0.9565217391304348,1.0,0.5263157894736842,0.3076923076923077,0.5,76,19
5,0.9868421052631579,0.9777777777777777,1.0,0.42105263157894735,0.15384615384615385,0.3,76,19
