fold,train_acc,train_f1,train_auc,val_acc,val_f1,val_auc,n_train,n_val
1,0.6052631578947368,0.5454545454545454,0.8103896103896104,0.5789473684210527,0.5,0.6025641025641025,76,19
2,0.40789473684210525,0.47058823529411764,0.7662337662337662,0.47368421052631576,0.5454545454545454,0.7948717948717949,76,19
3,0.5394736842105263,0.5333333333333333,0.7693602693602694,0.42105263157894735,0.42105263157894735,0.7142857142857142,76,19
4,0.6052631578947368,0.5833333333333334,0.813973063973064,0.47368421052631576,0.375,0.5571428571428572,76,19
5,0.5657894736842105,0.56,0.7828282828282829,0.42105263157894735,0.42105263157894735,0.6571428571428571,76,19
