epoch,train_loss,train_acc,train_f1,train_auc,full_loss,full_acc,full_f1,full_auc
1,0.7362136453390121,0.5686666666666667,0.3796740172579099,0.5455233926128591,0.596932954788208,0.7546666666666667,0.518324607329843,0.7839824897400821
2,0.6483282788395882,0.6726666666666666,0.4890738813735692,0.6752612859097128,0.5666924868822097,0.7566666666666667,0.5710928319623971,0.793945827633379
3,0.6321410924196244,0.6933333333333334,0.5074946466809421,0.7039146374829002,0.5632621228694916,0.724,0.6094339622641509,0.798888098495212
4,0.5855914656519889,0.7226666666666667,0.5526881720430108,0.7521729138166895,0.5573771085739135,0.7653333333333333,0.580952380952381,0.8062336525307798
5,0.6022986806035042,0.7126666666666667,0.5380493033226152,0.7341121751025991,0.5348873162865638,0.7593333333333333,0.6147278548559232,0.8133909712722297
6,0.592623140156269,0.724,0.555793991416309,0.752411491108071,0.5328317579030991,0.748,0.6257425742574257,0.8175277701778386
7,0.6023278787136078,0.7026666666666667,0.5324947589098532,0.739587414500684,0.6222208998799325,0.594,0.5640658554044381,0.810981121751026
8,0.5762130910754204,0.7246666666666667,0.5684430512016719,0.7646861833105334,0.5359897879362107,0.788,0.6025,0.8262894664842679
9,0.5761313337683678,0.7366666666666667,0.569247546346783,0.7712634746922025,0.5312580971121788,0.8006666666666666,0.6050198150594451,0.8393433652530778
10,0.5630801799893379,0.734,0.5882352941176471,0.7824350205198358,0.523487610757351,0.794,0.629940119760479,0.8367146374829001
11,0.5589856919050217,0.7426666666666667,0.5936842105263158,0.7848207934336525,0.5007235451340676,0.79,0.6227544910179641,0.8488295485636115
12,0.5494210010170937,0.7426666666666667,0.584051724137931,0.7936897400820793,0.5742505154609681,0.6693333333333333,0.6,0.8215748290013679
13,0.5438397633433342,0.7433333333333333,0.5985401459854015,0.7956530779753762,0.504446829199791,0.7993333333333333,0.6279357231149567,0.8489652530779753
14,0.5471687843799591,0.7546666666666667,0.6126315789473684,0.7997570451436388,0.49713404470682143,0.7606666666666667,0.647693817468106,0.8489455540355678
15,0.5368280348777771,0.7593333333333333,0.6097297297297297,0.8065619699042408,0.494196337223053,0.7653333333333333,0.6549019607843137,0.8479474692202461
16,0.5237442893087864,0.7686666666666667,0.6272824919441461,0.8119266757865937,0.5023956373333931,0.7493333333333333,0.6432637571157496,0.8430686730506156
17,0.5192990652620793,0.748,0.60625,0.817289192886457,0.49374930539727213,0.8113333333333334,0.6422250316055625,0.8610232558139536
18,0.5243342411518097,0.756,0.6195426195426196,0.8139119015047881,0.6453985721468926,0.7806666666666666,0.4433164128595601,0.8616974008207934
19,0.5339205042719841,0.7693333333333333,0.6303418803418803,0.8121761969904241,0.47564243972301484,0.782,0.6632337796086509,0.8578976744186046
20,0.5271961551904678,0.7726666666666666,0.6391534391534391,0.8166763337893298,0.4617294045686722,0.772,0.6586826347305389,0.8647441860465117
21,0.4904994195699692,0.7786666666666666,0.6519916142557652,0.8413745554035568,0.4582339189350605,0.8166666666666667,0.6791131855309218,0.8716563611491108
22,0.49570692509412767,0.782,0.6487647690655209,0.8398270861833105,0.45421384781599045,0.8033333333333333,0.6838156484458735,0.8687277701778384
23,0.48679202485084533,0.7766666666666666,0.6484784889821616,0.8430533515731875,0.5016715222895145,0.8086666666666666,0.628719275549806,0.8687015047879617
24,0.4845328348726034,0.7866666666666666,0.6638655462184874,0.8442484268125854,0.5765188391208649,0.7973333333333333,0.5308641975308642,0.8730528043775649
25,0.49806826213002203,0.7726666666666666,0.6383881230116649,0.8354079343365253,0.4459933953285217,0.8153333333333334,0.6805074971164936,0.8798095759233926
26,0.49043228140473366,0.778,0.6468716861081655,0.8430621067031463,0.43686314618587496,0.8106666666666666,0.6991525423728814,0.886500683994528
27,0.5036240259408951,0.7766666666666666,0.654994850669413,0.8386385772913816,0.45668582290411,0.7826666666666666,0.6865384615384615,0.8849422708618332
28,0.4800939694344997,0.788,0.6528384279475983,0.8460103967168263,0.48316214928030965,0.7426666666666667,0.6637630662020906,0.8870588235294118
29,0.4868013319969177,0.7866666666666666,0.6666666666666666,0.8460629274965801,0.43747564178705217,0.7846666666666666,0.6995348837209302,0.8953608755129959
30,0.4519213430583477,0.7986666666666666,0.6841004184100419,0.8665389876880984,0.46237388664484025,0.7726666666666666,0.67981220657277,0.8713630642954856
