fold,val_loss,val_acc,val_f1,val_auc,n_train,n_val,num_workers,slice_embed_mode
1,0.5424163734912872,0.7466666666666667,0.6161616161616161,0.8047058823529412,1200,300,5,48x128
2,0.50290935754776,0.7866666666666666,0.6483516483516484,0.8488645690834473,1200,300,5,48x128
3,0.6155654978752136,0.66,0.5277777777777778,0.7301778385772915,1200,300,5,48x128
4,0.4976957321166992,0.7666666666666667,0.6428571428571429,0.8390697674418605,1200,300,5,48x128
5,0.5068504250049591,0.7866666666666666,0.6666666666666666,0.8369904240766074,1200,300,5,48x128
