fold,train_acc,train_f1,train_auc,val_acc,val_f1,val_auc,n_train,n_val
1,0.868421052631579,0.7916666666666666,0.9428571428571428,0.5789473684210527,0.2,0.3717948717948718,76,19
2,0.881578947368421,0.8163265306122449,0.974025974025974,0.42105263157894735,0.26666666666666666,0.46153846153846156,76,19
3,0.8157894736842105,0.7407407407407407,0.904040404040404,0.5789473684210527,0.3333333333333333,0.5285714285714286,76,19
4,0.8552631578947368,0.7843137254901961,0.9158249158249159,0.47368421052631576,0.2857142857142857,0.5,76,19
5,0.8421052631578947,0.75,0.9074074074074074,0.631578947368421,0.36363636363636365,0.5428571428571429,76,19
