fold,val_loss,val_acc,val_f1,val_auc,n_train,n_val,num_workers,final_pooling
1,0.5495851454138756,0.6866666666666666,0.5877192982456141,0.7947469220246237,1200,300,5,avg+max
2,0.4858802756667137,0.75,0.6231155778894473,0.8480437756497948,1200,300,5,avg+max
3,0.6092408770322799,0.7433333333333333,0.5549132947976878,0.7523939808481532,1200,300,5,avg+max
4,0.5212880778312683,0.75,0.6305418719211823,0.8225991792065663,1200,300,5,avg+max
5,0.5124921777844429,0.7933333333333333,0.6630434782608695,0.8297127222982216,1200,300,5,avg+max
