epoch,train_loss,val_loss,train_auc,val_auc
0,1.0133861443027854,0.8508020242055258,0.4701754385964912,0.8148148148148149
1,0.9527482087723911,0.9567510734001795,0.6046783625730994,0.7037037037037037
2,0.9106623246334493,0.8726014792919159,0.6748538011695906,0.6666666666666667
3,0.8054984142072499,0.7575470680991808,0.8152046783625732,0.7777777777777779
4,0.7514628460630774,0.7165425171454748,0.8035087719298246,0.8148148148148149
5,0.6984224948100746,0.7367448608080546,0.8538011695906432,0.8148148148148149
6,0.7156629548408091,0.7377899835507075,0.8339181286549707,0.8148148148148149
7,0.6610295886639506,0.7837085823218027,0.856140350877193,0.8148148148148149
8,0.6370058252941817,0.7718189060688019,0.8748538011695907,0.7407407407407408
9,0.5931558730080724,0.7622102300326029,0.9181286549707602,0.8518518518518519
10,0.5158088667085394,0.6333258946736654,0.9263157894736842,0.8518518518518519
11,0.4726611092337407,0.6313643008470535,0.943859649122807,0.8518518518518519
12,0.4150131445203442,0.5349247803290685,0.9590643274853802,0.8888888888888888
13,0.373668747197371,0.4928619886438052,0.9695906432748538,0.9259259259259258
14,0.2740658031834755,0.48129628598690033,0.9894736842105263,0.9629629629629629
15,0.19664737563289236,0.35327979177236557,1.0,0.9629629629629629
16,0.16227845195680857,0.9017661412556967,1.0,0.9629629629629629
17,0.30957574892090634,0.43682925030589104,0.9730994152046784,0.9259259259259259
18,0.17774394708612817,0.43868962426980335,0.9964912280701754,0.9629629629629629
19,0.08872834826433973,0.5194413562615713,1.0,0.9259259259259259
20,0.06597009191136749,0.509484072526296,1.0,0.9259259259259259
21,0.03953086285491736,0.537290753175815,1.0,0.9259259259259259
22,0.03006633902532485,0.6476260659595331,1.0,0.9259259259259259
23,0.018302482215858618,0.4742125061651071,1.0,0.9259259259259259
24,0.022966135334286264,0.5778705800573031,1.0,0.9259259259259259
25,0.10147086385535431,1.1586218802646424,1.0,0.8148148148148148
26,0.2740746211976557,0.5071429448823134,0.9812865497076024,0.9629629629629629
27,0.10737910219404512,0.5810847307244936,0.9988304093567251,0.9259259259259259
28,0.049752875468584534,0.837762196858724,1.0,0.9259259259259259
29,0.03298742538277111,0.6435758347312609,1.0,0.9259259259259259
30,0.0348405943511807,0.5385493536790212,1.0,0.9259259259259259
