fold,train_acc,train_f1,train_auc,val_acc,val_f1,val_auc,n_train,n_val
1,0.7105263157894737,0.65625,1.0,0.5789473684210527,0.5,0.5897435897435898,76,19
2,0.6578947368421053,0.6176470588235294,1.0,0.7894736842105263,0.75,0.8333333333333333,76,19
3,0.6842105263157895,0.6470588235294118,1.0,0.5789473684210527,0.5,0.6285714285714286,76,19
4,0.7236842105263158,0.676923076923077,1.0,0.5263157894736842,0.4,0.5142857142857142,76,19
5,0.6842105263157895,0.6470588235294118,1.0,0.3684210526315789,0.45454545454545453,0.6714285714285714,76,19
