fold,val_loss,val_acc,val_f1,val_auc,n_train,n_val,num_workers,final_pooling
1,0.5287236046791076,0.7233333333333334,0.5951219512195122,0.8096306429548563,1200,300,5,avg+max
2,0.482200767993927,0.7466666666666667,0.638095238095238,0.8508891928864569,1200,300,5,avg+max
3,0.5939518159627915,0.6633333333333333,0.5511111111111111,0.77406292749658,1200,300,5,avg+max
4,0.5162837988138199,0.76,0.625,0.8396169630642955,1200,300,5,avg+max
5,0.5092800144851207,0.78,0.6526315789473685,0.82812585499316,1200,300,5,avg+max
