epoch,train_loss,train_acc,train_f1,train_auc,full_loss,full_acc,full_f1,full_auc
1,0.73292979991436,0.5873333333333334,0.3960975609756098,0.5622500683994528,0.6319663522243499,0.5993333333333334,0.5470987189148455,0.7755633378932969
2,0.6573696252703667,0.664,0.46835443037974683,0.6719868673050616,0.5869943467378617,0.7133333333333334,0.5904761904761905,0.7828224350205198
3,0.6275121565461159,0.6853333333333333,0.5083333333333333,0.7013428180574555,0.6579947747588157,0.7513333333333333,0.2840690978886756,0.7989165526675787
4,0.6286884506344795,0.7073333333333334,0.515986769570011,0.7065740082079343,0.5614273159503936,0.7386666666666667,0.6126482213438735,0.8103113543091656
5,0.5974350872635842,0.7146666666666667,0.5387931034482759,0.7349975376196989,0.640478837609291,0.7573333333333333,0.36585365853658536,0.8067173734610122
6,0.5993553158044815,0.728,0.5677966101694916,0.7514352941176471,0.5471682252883912,0.772,0.6165919282511211,0.8109526675786595
7,0.5797741939425468,0.7373333333333333,0.5772532188841202,0.7668618331053352,0.5313148126006126,0.7593333333333333,0.6386386386386387,0.8251469220246237
8,0.5718235728740693,0.7406666666666667,0.5748633879781421,0.7707053351573188,0.5258027858734131,0.794,0.6161490683229813,0.8277647058823531
9,0.5783478409647942,0.7466666666666667,0.5842450765864332,0.7693198358413134,0.5398842096924782,0.7273333333333334,0.6264840182648402,0.8283381668946649
10,0.5670604770183563,0.74,0.5770065075921909,0.7769039671682626,0.6586853194236756,0.546,0.5407956844234659,0.8291764705882353
11,0.5751329700350761,0.7433333333333333,0.5855758880516685,0.7676279069767442,0.513666337609291,0.8126666666666666,0.6287978863936592,0.8512437756497949
12,0.5566303383708,0.7453333333333333,0.5856832971800434,0.7906123119015048,0.5430465382933617,0.702,0.6234203875315922,0.8451480164158687
13,0.5416896049976349,0.7553333333333333,0.613277133825079,0.8051961696306429,0.5154109880924225,0.7233333333333334,0.6406926406926406,0.8583419972640219
14,0.5445460030436515,0.7553333333333333,0.6040992448759439,0.799470314637483,0.529882131755352,0.7433333333333333,0.6451612903225806,0.8432612859097127
15,0.5441150294542313,0.7573333333333333,0.6094420600858369,0.8041061559507525,0.48518029469251633,0.78,0.6632653061224489,0.8548268125854993
16,0.5154615056812764,0.78,0.6413043478260869,0.8247879616963065,0.47573542916774747,0.7793333333333333,0.6713008937437934,0.8670270861833106
17,0.5205510511994362,0.7706666666666667,0.6348195329087049,0.8205154582763338,0.48856027114391326,0.772,0.6613861386138614,0.8599595075239398
18,0.5248222012519836,0.7613333333333333,0.6065934065934065,0.8140738714090288,0.4499057330787182,0.7986666666666666,0.6745689655172413,0.8718555403556771
19,0.5001701162159443,0.7853333333333333,0.6552462526766595,0.8395250341997263,0.45362034583091737,0.7993333333333333,0.677384780278671,0.8695770177838578
20,0.5211656183302402,0.7666666666666667,0.6220302375809935,0.8237198358413131,0.5297820330858231,0.6813333333333333,0.6317411402157165,0.8898473324213405
21,0.4991393875181675,0.7786666666666666,0.6460554371002132,0.8340136798905609,0.4415723765194416,0.798,0.6905005107252298,0.8792536251709986
22,0.5153769881427288,0.762,0.620616365568544,0.8245362517099861,0.4776629444956779,0.7713333333333333,0.6754966887417219,0.8790216142270862
23,0.494139613032341,0.79,0.6616541353383458,0.842939534883721,0.47681048381328583,0.7513333333333333,0.6707855251544572,0.8925482900136799
24,0.4919216811060905,0.786,0.65814696485623,0.8432350205198359,0.44731955164670945,0.828,0.6766917293233082,0.8900727770177839
25,0.4885194075256586,0.7913333333333333,0.6594124047878128,0.8461942544459644,0.42940105110406873,0.7946666666666666,0.7055449330783938,0.9021854993160056
26,0.46314821650087834,0.8026666666666666,0.6824034334763949,0.8625860465116278,0.45234300354123114,0.7553333333333333,0.6849785407725322,0.9070752393980848
27,0.4687236650288105,0.7966666666666666,0.6730975348338692,0.8607474692202463,0.42202696177363397,0.832,0.6949152542372882,0.9005264021887827
28,0.47850685428082945,0.7933333333333333,0.6645021645021645,0.85389439124487,0.4406826990544796,0.7666666666666667,0.6891651865008881,0.9048120383036936
29,0.460448061645031,0.7846666666666666,0.663891779396462,0.8648667578659371,0.4022117593586445,0.836,0.7204545454545455,0.9014347469220246
30,0.47470270937681197,0.7933333333333333,0.665948275862069,0.8505937072503419,0.4112542205154896,0.8113333333333334,0.7270973963355835,0.910997537619699
