fold,val_loss,val_acc,val_f1,val_auc,n_train,n_val,num_workers,slice_embed_mode
1,0.5410136851668358,0.72,0.5841584158415841,0.7956224350205198,1200,300,0,24x128
2,0.474915389418602,0.8033333333333333,0.6628571428571428,0.8526949384404925,1200,300,0,24x128
3,0.5941612192988396,0.7333333333333333,0.550561797752809,0.748891928864569,1200,300,0,24x128
4,0.506025795340538,0.7966666666666666,0.6934673366834171,0.8293296853625172,1200,300,0,24x128
5,0.4944337847828865,0.7533333333333333,0.6372549019607843,0.8443775649794801,1200,300,0,24x128
