fold,train_acc,train_f1,train_auc,val_acc,val_f1,val_auc,n_train,n_val
1,0.6578947368421053,0.5357142857142857,0.7437229437229437,0.47368421052631576,0.375,0.5769230769230769,76,19
2,0.6052631578947368,0.5161290322580645,0.7333333333333334,0.47368421052631576,0.4444444444444444,0.5897435897435898,76,19
3,0.5263157894736842,0.5,0.7121212121212122,0.5263157894736842,0.47058823529411764,0.6857142857142858,76,19
4,0.5921052631578947,0.5230769230769231,0.73989898989899,0.5263157894736842,0.4,0.5428571428571429,76,19
5,0.618421052631579,0.5671641791044776,0.765993265993266,0.5263157894736842,0.4,0.5857142857142856,76,19
