fold,train_acc,train_f1,train_auc,val_acc,val_f1,val_auc,n_train,n_val
1,0.9736842105263158,0.9545454545454546,1.0,0.5263157894736842,0.3076923076923077,0.3076923076923077,76,19
2,1.0,1.0,1.0,0.5789473684210527,0.3333333333333333,0.47435897435897434,76,19
3,0.9868421052631579,0.9777777777777777,1.0,0.6842105263157895,0.5714285714285714,0.6857142857142858,76,19
4,0.9605263157894737,0.9361702127659575,1.0,0.42105263157894735,0.26666666666666666,0.45714285714285713,76,19
5,1.0,1.0,1.0,0.47368421052631576,0.16666666666666666,0.37142857142857144,76,19
