metric,split,loss,acc,f1,auc,sensitivity,specificity
mean,train,0.4255873421305104,0.9394736842105263,0.8830477285796435,0.975916305916306,0.8441558441558442,0.9781818181818182
std,train,0.15960017254692296,0.03790752708128401,0.07828356759608972,0.022014375764134113,0.1592564736159834,0.039417242524870555
mean,val,0.6289243167952487,0.7157894736842105,0.23701298701298698,0.623956043956044,0.18,0.9241758241758242
std,val,0.045455900511716794,0.07981974151633209,0.24514599585730737,0.12258880838030789,0.18499249234015477,0.09424318311207576
