epoch,train_loss,val_loss
0,1.0132786254398525,0.8402256965637207
1,0.9481247854419053,0.9684157917896906
2,0.8985462281852961,0.8196489413579305
3,0.7756316941231489,0.6107925325632095
4,0.7046224942896515,0.659673290948073
5,0.6392258969135582,0.5909891972939173
6,0.6080092757474631,0.49967726071675617
7,0.5978187199216336,0.5284252713123957
8,0.43156492861453444,0.7969658138851324
9,0.5757551186834462,0.7460132837295532
10,0.4505456931947265,0.5755166287223498
11,0.36944778345059603,0.6494356741507848
12,0.376216327334987,0.49399659285942715
13,0.3322092009766493,0.4928933431704839
14,0.25871716122492217,0.5628263801336288
15,0.1964583600347396,0.40304645895957947
16,0.23787040242677904,1.0214268267154694
17,0.31807347187532287,0.5274971934656302
18,0.19217373442370445,0.45503396540880203
19,0.07367281833285233,0.5517904199659824
20,0.07136136038207042,0.462398203710715
21,0.05674006207118509,0.6047153621912003
22,0.027276494953184738,0.7959825197855631
23,0.021299525717040524,0.5579811582962672
24,0.020958762707778078,0.6945247873663902
25,0.01439913094327494,0.6884536736955246
26,0.011436582848546095,0.7038267708073059
27,0.010094597942043038,0.791767772908012
28,0.008426927810432971,0.6741238568599025
29,0.010338936326661496,0.8629576023668051
30,0.007018358497589361,0.8061634159336487
