fold,train_acc,train_f1,train_auc,val_acc,val_f1,val_auc,n_train,n_val
1,0.9473684210526315,0.9130434782608695,0.9974025974025974,0.8421052631578947,0.7272727272727273,0.7564102564102565,76,19
2,0.9210526315789473,0.8695652173913043,0.9887445887445887,0.6842105263157895,0.625,0.8717948717948718,76,19
3,0.868421052631579,0.8076923076923077,0.973063973063973,0.7368421052631579,0.6153846153846154,0.8857142857142857,76,19
4,0.9210526315789473,0.875,0.9907407407407407,0.47368421052631576,0.375,0.5571428571428572,76,19
5,0.9342105263157895,0.8936170212765957,0.9932659932659933,0.5789473684210527,0.2,0.4285714285714286,76,19
