metric,split,loss,acc,f1,auc,sensitivity,specificity
mean,train,0.538404404175909,0.8447368421052632,0.7197170618677388,0.9352284752284753,0.716017316017316,0.8977777777777778
std,train,0.08717121345476143,0.10081042794409446,0.17368760992791168,0.0654067418305443,0.2342937370444002,0.11898286751874561
mean,val,0.6398896358515087,0.6421052631578947,0.28380952380952384,0.6095970695970696,0.31333333333333335,0.7593406593406593
std,val,0.027764105794958853,0.1412253459473551,0.24209965902074124,0.1799985986012019,0.3141125063837266,0.21316981919352043
