epoch,train_loss,train_acc,train_f1,train_auc,full_loss,full_acc,full_f1,full_auc
1,0.6521029530763626,0.7166666666666667,0.0,0.5856284541723666,0.6382281519969304,0.7166666666666667,0.0,0.7651852257181944
2,0.6301327982743581,0.7193333333333334,0.05393258426966292,0.66795731874145,0.6065386135180791,0.7493333333333333,0.36486486486486486,0.7786987688098495
3,0.6236405997077624,0.7226666666666667,0.07555555555555556,0.6834714090287278,0.58063009339571,0.7293333333333333,0.14705882352941177,0.7999693570451437
4,0.5794390933513641,0.7473333333333333,0.4728789986091794,0.7457160054719563,0.544997440179189,0.78,0.5325779036827195,0.8036990424076607
5,0.5653000558018685,0.742,0.532043530834341,0.7520875512995896,0.5383855739235878,0.7893333333333333,0.5498575498575499,0.8145707250341997
6,0.5442283713618914,0.7486666666666667,0.56815578465063,0.7757461012311901,0.5742740670839945,0.6926666666666667,0.6069906223358909,0.8128262653898769
7,0.5302989630202453,0.752,0.568445475638051,0.7853329685362517,0.5189672721823057,0.788,0.5595567867036011,0.8295638850889193
8,0.5259648980100949,0.776,0.6111111111111112,0.7901570451436388,0.5000334044198195,0.7853333333333333,0.6307339449541285,0.8246172366621067
9,0.5231692591110866,0.77,0.6020761245674741,0.793475239398085,0.5590291962524255,0.7726666666666666,0.44552845528455287,0.8347972640218878
10,0.5147821734249591,0.7793333333333333,0.6137689614935823,0.8024558139534882,0.5015767886936665,0.808,0.625,0.8355020519835843
11,0.509270671347777,0.7826666666666666,0.6146572104018913,0.8060738714090286,0.5421059499184291,0.7166666666666667,0.6174617461746175,0.8190621067031464
12,0.5097314169208209,0.768,0.6081081081081081,0.8110511627906977,0.48309153723716736,0.7913333333333333,0.6287069988137604,0.8392908344733243
13,0.5109670257320007,0.774,0.6125714285714285,0.809860465116279,0.4818924143612385,0.8,0.6259351620947631,0.8455835841313271
14,0.506622085109353,0.78,0.6162790697674418,0.8122265389876882,0.4786641424794992,0.786,0.6405375139977604,0.8407945280437756
15,0.5111882759282986,0.786,0.6263096623981373,0.8097247606019153,0.4817634963095188,0.8,0.625,0.846299316005472
16,0.49720825093984605,0.7826666666666666,0.6278538812785388,0.8186856361149111,0.4715276068150997,0.7946666666666666,0.6451612903225806,0.8458790697674418
17,0.49758202171325683,0.7893333333333333,0.6317016317016317,0.823908071135431,0.47839835463960967,0.7906666666666666,0.6673728813559322,0.8456886456908345
18,0.4943213023096323,0.78,0.6215596330275229,0.8239255813953489,0.4635438249409199,0.796,0.6584821428571429,0.8545225718194255
19,0.4957209577063719,0.778,0.6176808266360505,0.824118194254446,0.46882207347949345,0.808,0.6345177664974619,0.8556979480164159
20,0.4780387600709995,0.7893333333333333,0.6417233560090703,0.8372574555403557,0.5208265225887299,0.7953333333333333,0.5491923641703378,0.8588388508891929
21,0.49472957591712474,0.7906666666666666,0.633177570093458,0.8273050615595074,0.5059099451402823,0.7486666666666667,0.6588235294117647,0.854104514363885
22,0.4838528957118591,0.784,0.6301369863013698,0.8365658002735977,0.4997772156894207,0.8,0.5738636363636364,0.8612924760601915
23,0.47710631900280714,0.7866666666666666,0.6338672768878718,0.8357165526675786,0.4731710659513871,0.8066666666666666,0.6174142480211082,0.8643261285909711
24,0.47208114941914875,0.7886666666666666,0.6335260115606937,0.8446621067031463,0.45330910468598207,0.8153333333333334,0.6291834002677377,0.8716169630642955
25,0.47212150899569194,0.7973333333333333,0.6545454545454545,0.8429548563611491,0.4586524945994218,0.8233333333333334,0.6624203821656051,0.8657488372093023
26,0.4741759874820709,0.792,0.6422018348623854,0.8445417236662107,0.44531740387777485,0.8206666666666667,0.6846424384525205,0.869835294117647
27,0.4668724441379309,0.7926666666666666,0.646188850967008,0.8457652530779756,0.4467988319694996,0.7926666666666666,0.6702014846235419,0.8649980848153215
28,0.46281633647779624,0.8033333333333333,0.6573751451800233,0.8456689466484268,0.4941124560634295,0.7673333333333333,0.6806953339432754,0.8767102599179206
29,0.4463465348730485,0.7986666666666666,0.652073732718894,0.8591365253077976,0.4621310808012883,0.7753333333333333,0.6781279847182426,0.8771370725034201
30,0.4540484113544226,0.8006666666666666,0.6575028636884307,0.8552229822161422,0.4385826426297426,0.8246666666666667,0.650730411686587,0.8782336525307797
