fold,val_loss,val_acc,val_f1,val_auc,n_train,n_val,num_workers,slice_embed_mode
1,0.5291639196872712,0.7033333333333334,0.5821596244131455,0.810889192886457,1200,300,0,24x128
2,0.4817117381095886,0.8133333333333334,0.6818181818181818,0.8645690834473324,1200,300,0,24x128
3,0.6034635186195374,0.69,0.5674418604651162,0.7494391244870042,1200,300,0,24x128
4,0.5171820032596588,0.75,0.6305418719211823,0.8222708618331054,1200,300,0,24x128
5,0.5100986909866333,0.74,0.6285714285714286,0.8299863201094391,1200,300,0,24x128
